avg_cell_voltage;charging_current;max_cell_voltage;min_cell_voltage;max_cell_temp;min_cell_temp;soc;timestamp;;
3.88;-200.8;3.88;3.88;31;29;47;0;;
3.88;-200.8;3.88;3.88;31;29;47;0.14;;
3.88;-200.8;3.88;3.88;31;29;47;0.28;;
3.88;-200.8;3.88;3.88;31;29;47;0.42;;
3.88;-200.8;3.88;3.88;31;29;47;0.56;;
3.88;-200.8;3.88;3.88;31;29;47;0.7;;
3.88;-200.5;3.88;3.88;31;29;47;0.84;;
3.88;-200.5;3.88;3.88;31;29;47;0.98;;
3.88;-200.5;3.88;3.88;31;29;47;1.12;;
3.88;-200.5;3.88;3.88;31;29;47;1.26;;
3.88;-200.5;3.88;3.88;31;29;47;1.4;;
3.88;-199.6;3.88;3.88;31;29;47.5;1.54;;
3.88;-199.6;3.88;3.88;31;29;47.5;1.68;;
3.88;-199.6;3.88;3.88;31;29;47.5;1.82;;
3.88;-199.6;3.88;3.88;31;29;47.5;1.96;;
3.88;-199.6;3.88;3.88;31;29;47.5;2.1;;
3.88;-199.6;3.88;3.88;31;29;47.5;2.24;;
3.88;-200.7;3.88;3.88;31;29;47.5;2.38;;
3.88;-200.7;3.88;3.88;31;29;47.5;2.52;;
3.88;-200.7;3.88;3.88;31;29;47.5;2.66;;
3.88;-200.8;3.88;3.88;31;29;47.5;2.8;;
3.88;-200.8;3.88;3.88;31;29;47.5;2.94;;
3.88;-200.8;3.88;3.88;31;29;47.5;3.08;;
3.88;-200.8;3.88;3.88;31;29;47.5;3.22;;
3.88;-200.5;3.88;3.88;31;29;47.5;3.36;;
3.88;-200.5;3.88;3.88;31;29;47.5;3.5;;
3.88;-200.5;3.88;3.88;31;29;47.5;3.64;;
3.88;-200.5;3.88;3.88;31;29;47.5;3.78;;
3.88;-200.5;3.88;3.88;31;29;47.5;3.92;;
3.88;-200.5;3.88;3.88;31;29;47.5;4.06;;
3.88;-200.5;3.88;3.88;31;29;47.5;4.2;;
3.88;-199.4;3.88;3.88;31;29;47.5;4.34;;
3.88;-199.4;3.88;3.88;31;29;47.5;4.48;;
3.88;-199.4;3.88;3.88;31;29;47.5;4.62;;
3.88;-199.6;3.88;3.88;31;29;47.5;4.76;;
3.88;-199.6;3.88;3.88;31;29;47.5;4.9;;
3.88;-199.6;3.88;3.88;31;29;47.5;5.04;;
3.88;-200.8;3.88;3.88;31;29;47.5;5.18;;
3.88;-200.8;3.88;3.88;31;29;47.5;5.32;;
3.88;-200.8;3.88;3.88;31;29;47.5;5.46;;
3.88;-200.8;3.88;3.88;31;29;47.5;5.6;;
3.88;-200.5;3.88;3.88;31;29;47.5;5.74;;
3.88;-200.5;3.88;3.88;31;29;47.5;5.88;;
3.88;-200.5;3.88;3.88;31;29;47.5;6.02;;
3.88;-200.8;3.88;3.88;31;29;47.5;6.16;;
3.88;-200.8;3.88;3.88;31;29;47.5;6.3;;
3.88;-200.8;3.88;3.88;31;29;47.5;6.44;;
3.88;-200.7;3.88;3.88;31;29;47.5;6.58;;
3.88;-200.7;3.88;3.88;31;29;47.5;6.72;;
